Date,Distance (in AU)
 1952-Apr-30,0.002691568
 1952-May-01,0.002700545
 1952-May-02,0.002701174
 1952-May-03,0.002693209
 1952-May-04,0.00267707
 1952-May-05,0.002653828
 1952-May-06,0.002625153
 1952-May-07,0.002593186
 1952-May-08,0.002560366
 1952-May-09,0.002529184
 1952-May-10,0.002501905
 1952-May-11,0.002480299
 1952-May-12,0.002465438
 1952-May-13,0.002457619
 1952-May-14,0.002456443
 1952-May-15,0.002461014
 1952-May-16,0.002470213
 1952-May-17,0.002482956
 1952-May-18,0.002498382
 1952-May-19,0.002515916
 1952-May-20,0.00253524
 1952-May-21,0.002556169
 1952-May-22,0.002578486
 1952-May-23,0.002601798
 1952-May-24,0.002625419
 1952-May-25,0.002648343
 1952-May-26,0.00266928
 1952-May-27,0.002686756
 1952-May-28,0.002699263
 1952-May-29,0.002705418
 1952-May-30,0.002704127
 1952-May-31,0.002694733
 1952-Jun-01,0.002677134
 1952-Jun-02,0.002651875
 1952-Jun-03,0.002620194
 1952-Jun-04,0.002584009
 1952-Jun-05,0.00254583
 1952-Jun-06,0.002508574
 1952-Jun-07,0.002475271
 1952-Jun-08,0.002448686
 1952-Jun-09,0.002430925
 1952-Jun-10,0.002423112
 1952-Jun-11,0.00242525
 1952-Jun-12,0.002436309
 1952-Jun-13,0.002454524
 1952-Jun-14,0.002477782
 1952-Jun-15,0.002504006
 1952-Jun-16,0.002531431
 1952-Jun-17,0.002558739
 1952-Jun-18,0.002585068
 1952-Jun-19,0.002609918
 1952-Jun-20,0.002633002
 1952-Jun-21,0.00265409
 1952-Jun-22,0.00267287
 1952-Jun-23,0.002688855
 1952-Jun-24,0.00270135
 1952-Jun-25,0.002709485
 1952-Jun-26,0.002712296
 1952-Jun-27,0.002708849
 1952-Jun-28,0.002698384
 1952-Jun-29,0.002680474
 1952-Jun-30,0.002655172
 1952-Jul-01,0.002623143
 1952-Jul-02,0.002585756
 1952-Jul-03,0.002545111
 1952-Jul-04,0.002503974
 1952-Jul-05,0.002465579
 1952-Jul-06,0.002433287
 1952-Jul-07,0.002410119
 1952-Jul-08,0.002398245
 1952-Jul-09,0.002398591
 1952-Jul-10,0.002410675
